amfi_code,return_3yr_pct,expense_ratio_pct,sharpe_ratio,Alpha,Beta,Max Drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,Fund Score
120505,18.08,1.36,1.1801011976606495,0.2926358334175106,0.000549004250631731,-0.18188513572116294,8.0,5.0,3.0,15.0,25.0,9.0
120843,15.65,1.45,1.3067439695428413,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,11.0,2.0,5.0,22.0,13.0,9.4
100033,16.58,1.38,1.093698743534631,0.2719535450128533,0.005103525830528313,-0.16217208574644848,10.0,7.0,6.0,17.0,20.0,10.5
119598,23.39,1.43,0.9453082575156093,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,1.0,14.0,1.0,21.0,36.0,10.75
148567,14.81,1.46,1.4482911703262604,0.2698375144191807,0.023683558075848616,-0.11265729075028275,17.0,1.0,7.0,23.0,8.0,11.0
149324,20.08,1.52,0.949795824661604,0.3005787817097677,0.011455159960520695,-0.31171900300634214,6.0,13.0,2.0,26.5,37.0,13.125
149323,17.16,1.61,1.1321218524747252,0.26598577542043045,-0.002523004664699212,-0.17248105753451382,9.0,6.0,8.0,38.0,22.0,13.7
120504,14.41,0.8,1.0265242847993006,0.2119482701352573,0.016232169761417024,-0.12588275606922517,20.0,10.0,13.0,12.0,12.0,14.099999999999998
119094,15.18,1.38,0.9982309868636403,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,15.0,11.0,9.0,17.0,28.0,14.400000000000002
148569,13.58,1.6,1.2349300257743292,0.2827036785246582,0.01813388408385925,-0.1639674294693263,23.0,3.0,4.0,36.5,21.0,16.025
118632,14.0,1.51,1.0816591793457038,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,21.0,8.0,11.0,24.5,23.0,16.475
119551,12.36,1.54,1.2082665673727178,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,26.0,4.0,10.0,30.5,17.0,17.075
101206,13.78,1.6,1.0272133278753697,0.21399784776051212,0.02108631625012804,-0.11291596329323073,22.0,9.0,12.0,36.5,9.0,17.625
119552,11.3,0.66,0.953279496866011,0.1986859936686296,-0.02615930751351341,-0.11803493502764295,34.0,12.0,15.0,4.0,11.0,17.900000000000002
148568,14.56,1.52,0.9262873467360141,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,19.0,15.0,14.0,26.5,19.0,18.125
125497,13.38,0.92,0.7757902498211205,0.17729754927531766,0.048820404259577385,-0.15200013055606398,24.0,18.0,16.0,14.0,18.0,18.8
118634,20.15,1.53,0.4484340089089915,0.1750072167561127,0.10349663691337589,-0.2334488614483311,5.0,26.0,18.0,28.5,32.0,19.075
120506,14.76,1.41,0.6488787755249528,0.1625385327998104,0.04189646272811975,-0.1982565826298267,18.0,20.0,20.0,19.0,27.0,19.95
125498,15.29,0.78,0.3006119210425479,0.11989100971217971,0.009054412621739139,-0.21117279560132118,14.0,27.0,26.0,10.0,29.0,20.549999999999997
119599,23.14,0.72,-0.05718662582817995,0.048824215945539845,0.06200180438267164,-0.5257422117012851,2.0,32.0,36.0,5.5,40.0,20.625
118633,12.33,0.72,0.6452074382933218,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,27.0,21.0,22.0,5.5,26.0,21.175
101207,22.38,1.53,0.16266076928646786,0.10897091901704538,-0.06528924788351526,-0.3544691649336603,3.0,28.0,27.0,28.5,38.0,21.375
118635,11.77,0.89,0.6648569985490621,0.1513635464823924,-0.001433521389780139,-0.1165062450540909,32.0,19.0,23.0,13.0,10.0,21.9
120503,11.54,1.42,0.7979728586052844,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,33.0,17.0,17.0,20.0,14.0,21.95
102887,15.34,1.64,0.6195175900829826,0.16211256794033255,0.016682689437770806,-0.21539827112383225,13.0,22.0,21.0,39.5,30.0,22.525000000000002
102885,12.1,1.57,0.817099337349437,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,30.0,16.0,19.0,34.0,7.0,22.599999999999998
119095,20.98,1.38,-0.07597357117478923,0.04801595363775955,-0.06695117463929198,-0.5167775370852656,4.0,33.0,37.0,17.0,39.0,23.300000000000004
120507,7.68,0.74,0.495723392953312,0.06746210411099539,-0.0004440926329707226,-0.0009773140045925555,35.0,23.0,31.0,7.0,1.0,23.6
120842,18.23,1.56,0.07599984804658923,0.0780443887615508,0.018056874208118162,-0.24003511326274884,7.0,30.0,29.0,33.0,33.0,23.650000000000002
149322,12.82,1.54,0.46403744922047735,0.13173190226099432,-0.004050271130006511,-0.14844576917771746,25.0,25.0,24.0,30.5,16.0,24.725
119093,12.14,0.75,0.12961449795669325,0.08232801295222093,0.02588321244009315,-0.21751396370148224,29.0,29.0,28.0,8.0,31.0,25.85
120844,6.18,0.6,-0.08874729621557288,0.06455677495375998,-0.0004007442394784006,-0.0011629327956168556,37.0,34.0,32.0,3.0,2.0,26.65
120841,12.25,1.59,0.4942725378672348,0.13042924450705445,0.0363563990221998,-0.1757361416468729,28.0,24.0,25.0,35.0,24.0,27.049999999999997
102886,15.61,1.51,-0.2058316078547031,0.02896939786637944,-0.04212502902189429,-0.2800112356639287,12.0,36.0,40.0,24.5,35.0,27.775000000000002
100025,7.37,0.56,-0.5670947928476846,0.042817920315060876,0.0011582183155281417,-0.04308263824636349,36.0,39.0,38.0,2.0,4.0,28.849999999999998
118636,5.31,0.55,-0.35662950751436784,0.05074772999976104,0.0012566742731558475,-0.08316361763638702,39.0,38.0,35.0,1.0,6.0,28.95
119120,6.07,0.77,-0.22657538662791568,0.05620895216638369,-0.006413850728276476,-0.04328728923970093,38.0,37.0,34.0,9.0,5.0,29.3
100016,14.84,1.55,-0.20151706755966936,0.03747580763443281,-0.05826843143880891,-0.24734440880673303,16.0,35.0,39.0,32.0,34.0,29.550000000000004
119092,11.84,1.64,0.030784850954585916,0.0689952982167755,0.009730745001153627,-0.1440161790933726,31.0,31.0,30.0,39.5,15.0,30.474999999999998
101208,5.14,0.79,-0.8155673679088258,0.060861457957871144,0.00026670968338238335,-0.0016224980244717857,40.0,40.0,33.0,11.0,3.0,30.55
